STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi,STT,information,Label,thong_tin_norm_en,tokens_en,thong_tin_final_en
41,Tổng hợp các bài báo quốc tế 2012-2019,Nghiên cứu,tổng hợp các bài báo quốc tế,"['tổng_hợp', 'bài', 'báo', 'quốc_tế']",tổng_hợp bài báo quốc_tế,41,International Scientific Conference on Food Security and Sustainable Development 2017 - ISFS2017,Nghiên cứu,international scientific conference on food security and sustainable development isfs,"['international', 'scientific', 'conference', 'food', 'security', 'sustainable', 'development', 'isfs']",international scientific conference food security sustainable development isfs
42,Hội thảo khoa học quốc tế Ứng dụng vi tảo trong xử lý môi trường nước thả,Nghiên cứu,hội thảo khoa học quốc tế ứng dụng vi tảo trong xử lý môi trường nước thả,"['hội_thảo', 'khoa_học', 'quốc_tế', 'ứng_dụng', 'vi_tảo', 'xử_lý', 'môi_trường', 'nước', 'thả']",hội_thảo khoa_học quốc_tế ứng_dụng vi_tảo xử_lý môi_trường nước thả,42,Science and Technology Magazine - Issue 26 (February 2017),Nghiên cứu,science and technology magazine issue february,"['science', 'technology', 'magazine', 'issue', 'february']",science technology magazine issue february
43,IUH tổ chức Hội thảo quốc tế ICAFB & ICELT 2019,Nghiên cứu,iuh tổ chức hội thảo quốc tế icafb icelt,"['iuh', 'tổ_chức', 'hội_thảo', 'quốc_tế', 'icafb', 'icelt']",iuh tổ_chức hội_thảo quốc_tế icafb icelt,43,Science and Technology Magazine - Issue 25 (January 2017),Nghiên cứu,science and technology magazine issue january,"['science', 'technology', 'magazine', 'issue', 'january']",science technology magazine issue january
44,Kế hoạch tổ chức Hội nghị khoa học trẻ lần 1 năm 2019,Nghiên cứu,kế hoạch tổ chức hội nghị khoa học trẻ lần năm,"['kế_hoạch', 'tổ_chức', 'hội_nghị', 'khoa_học', 'trẻ', 'lần', 'năm']",kế_hoạch tổ_chức hội_nghị khoa_học trẻ lần năm,44,ISI international publication of Vietnamese universities in the 2016-2017 school year,Nghiên cứu,isi international publication of vietnamese universities in the school year,"['isi', 'international', 'publication', 'vietnamese', 'university', 'school', 'year']",isi international publication vietnamese university school year
45,Giảng viên và sinh viên Khoa CNTT tham gia tích cực AWS Educate Vietnam Championship – Dự án BUILD-IT,Nghiên cứu,giảng viên và sinh viên khoa cntt tham gia tích cực aws educate vietnam championship dự án build it,"['giảng_viên', 'sinh_viên', 'khoa', 'cntt', 'tham_gia', 'tích_cực', 'aws', 'educate', 'vietnam', 'championship', 'dự_án', 'build', 'it']",giảng_viên sinh_viên khoa cntt tham_gia tích_cực aws educate vietnam championship dự_án build it,45,Science and Technology Magazine - Issue 24 (March 2016),Nghiên cứu,science and technology magazine issue march,"['science', 'technology', 'magazine', 'issue', 'march']",science technology magazine issue march
46,Tạp chí Khoa học và Công nghệ - Số 29 (05-2017),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số,46,Established the Representative Office of the Association for Research and Editorial of Vietnam Science and Technology Works in Ho Chi Minh City,Nghiên cứu,established the representative office of the association for research and editorial of vietnam science and technology works in ho chi minh city,"['establish', 'representative', 'office', 'association', 'research', 'editorial', 'vietnam', 'science', 'technology', 'work', 'chi', 'minh', 'city']",establish representative office association research editorial vietnam science technology work chi minh city
47,Tạp chí Khoa học và Công nghệ - Số 27 (03-2017),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số,47,Science and Technology Magazine - Issue 23 (February 2016),Nghiên cứu,science and technology magazine issue february,"['science', 'technology', 'magazine', 'issue', 'february']",science technology magazine issue february
48,Hội nghị khoa học quốc tế về An ninh lương thực và phát triển bền vững 2017 - ISFS2017,Nghiên cứu,hội nghị khoa học quốc tế về an ninh lương thực và phát triển bền vững isfs,"['hội_nghị', 'khoa_học', 'quốc_tế', 'an_ninh', 'lương_thực', 'phát_triển', 'bền_vững', 'isfs']",hội_nghị khoa_học quốc_tế an_ninh lương_thực phát_triển bền_vững isfs,48,Announcing the results of reviewing articles attending the International Scientific Conference ICATSD2016,Nghiên cứu,announcing the results of reviewing articles attending the international scientific conference icatsd,"['announce', 'result', 'review', 'article', 'attend', 'international', 'scientific', 'conference', 'icatsd']",announce result review article attend international scientific conference icatsd
49,Tạp chí Khoa học và Công nghệ - Số 26 (02-2017),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số,49,License to operate Science and Technology Magazine - Ho Chi Minh City University of Industry,Nghiên cứu,license to operate science and technology magazine ho chi minh city university of industry,"['license', 'operate', 'science', 'technology', 'magazine', 'chi', 'minh', 'city', 'university', 'industry']",license operate science technology magazine chi minh city university industry
50,Tạp chí Khoa học và Công nghệ - Số 25 (01-2017),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số,50,Launching the Young Research Club,Nghiên cứu,launching the young research club,"['launch', 'young', 'research', 'club']",launch young research club
51,Công bố quốc tế ISI của các đại học Việt Nam trong năm học 2016-2017,Nghiên cứu,công bố quốc tế isi của các đại học việt nam trong năm học,"['công_bố', 'quốc_tế', 'isi', 'đại_học', 'việt_nam', 'năm_học']",công_bố quốc_tế isi đại_học việt_nam năm_học,51,"Students of Ho Chi Minh City University of Industry built a water filtration system for only 10,000 VND",Nghiên cứu,students of ho chi minh city university of industry built a water filtration system for only vnd,"['student', 'chi', 'minh', 'city', 'university', 'industry', 'build', 'water', 'filtration', 'system', 'vnd']",student chi minh city university industry build water filtration system vnd
52,Tạp chí Khoa học và Công nghệ - Số 24 (03-2016),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số,52,City University of Industry. HCM combined with Nghi Lam National University - Taiwan to organize a scientific conference.,Nghiên cứu,city university of industry hcm combined with nghi lam national university taiwan to organize a scientific conference,"['city', 'university', 'industry', 'hcm', 'combine', 'nghi', 'lam', 'national', 'university', 'taiwan', 'organize', 'scientific', 'conference']",city university industry hcm combine nghi lam national university taiwan organize scientific conference
53,Thành lập Văn phòng đại diện Hội Nghiên cứu Biên tập Công trình Khoa học và Công nghệ Việt Nam tại Thành phố Hồ Chí Minh,Nghiên cứu,thành lập văn phòng đại diện hội nghiên cứu biên tập công trình khoa học và công nghệ việt nam tại thành phố hồ chí minh,"['thành_lập', 'văn_phòng', 'đại_diện', 'hội', 'nghiên_cứu', 'biên_tập', 'công_trình', 'khoa_học', 'công_nghệ', 'việt_nam', 'thành_phố', 'hồ', 'chí_minh']",thành_lập văn_phòng đại_diện hội nghiên_cứu biên_tập công_trình khoa_học công_nghệ việt_nam thành_phố hồ chí_minh,53,"The International Conference on Innovation in Technology and Education - ICITE 2025 took place for the first time in Vietnam, with the hosting of Industrial University of Ho Chi Minh City (IUH).",Nghiên cứu,the international conference on innovation in technology and education icite took place for the first time in vietnam with the hosting of industrial university of ho chi minh city iuh,"['international', 'conference', 'innovation', 'technology', 'education', 'icite', 'take', 'place', 'first', 'time', 'vietnam', 'host', 'industrial', 'university', 'chi', 'minh', 'city', 'iuh']",international conference innovation technology education icite take place first time vietnam host industrial university chi minh city iuh
54,Tạp chí Khoa học và Công nghệ - Số 23 (02-2016),Nghiên cứu,tạp chí khoa học và công nghệ số,"['tạp_chí', 'khoa_học', 'công_nghệ', 'số']",tạp_chí khoa_học công_nghệ số,54,"The conference creates a vibrant academic forum between Vietnamese and Philippine researchers, promoting professional exchange, expanding research cooperation, and strengthening the lecturer-student exchange program.",Nghiên cứu,the conference creates a vibrant academic forum between vietnamese and philippine researchers promoting professional exchange expanding research cooperation and strengthening the lecturer student exchange program,"['conference', 'create', 'vibrant', 'academic', 'forum', 'vietnamese', 'philippine', 'researcher', 'promote', 'professional', 'exchange', 'expand', 'research', 'cooperation', 'strengthen', 'lecturer', 'student', 'exchange', 'program']",conference create vibrant academic forum vietnamese philippine researcher promote professional exchange expand research cooperation strengthen lecturer student exchange program
55,Thông báo kết quả xét duyệt bài báo tham dự Hội nghị Khoa học Quốc tế ICATSD2016,Nghiên cứu,thông báo kết quả xét duyệt bài báo tham dự hội nghị khoa học quốc tế icatsd,"['thông_báo', 'kết_quả', 'xét_duyệt', 'bài', 'báo', 'tham_dự', 'hội_nghị', 'khoa_học', 'quốc_tế', 'icatsd']",thông_báo kết_quả xét_duyệt bài báo tham_dự hội_nghị khoa_học quốc_tế icatsd,55,"The conference was honored to welcome Mr. Le Ngoc Anh Minh, Chairman of the Vietnam - ASEAN Hydrogen Club (VAHC); Mr. Mikhail Berkutov, Consul - Consulate General of the Russian Federation in Ho Chi Minh City, domestic and foreign businesses and organizations.",Nghiên cứu,the conference was honored to welcome mr le ngoc anh minh chairman of the vietnam asean hydrogen club vahc mr mikhail berkutov consul consulate general of the russian federation in ho chi minh city domestic and foreign businesses and organizations,"['conference', 'honor', 'welcome', 'ngoc', 'anh', 'minh', 'chairman', 'vietnam', 'asean', 'hydrogen', 'club', 'vahc', 'mikhail', 'berkutov', 'consul', 'consulate', 'general', 'russian', 'federation', 'chi', 'minh', 'city', 'domestic', 'foreign', 'business', 'organization']",conference honor welcome ngoc anh minh chairman vietnam asean hydrogen club vahc mikhail berkutov consul consulate general russian federation chi minh city domestic foreign business organization
56,Giấy phép hoạt động Tạp chí Khoa học và Công nghệ - Trường Đại học Công nghiệp TP.HCM,Nghiên cứu,giấy phép hoạt động tạp chí khoa học và công nghệ trường đại học công nghiệp tp hcm,"['giấy_phép', 'hoạt_động', 'tạp_chí', 'khoa_học', 'công_nghệ', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",giấy_phép hoạt_động tạp_chí khoa_học công_nghệ trường đại_học công_nghiệp tp hcm,56,"Strengthening links between businesses - universities - international organizations will be the key to promoting innovation, thereby opening up more effective Hydrogen applications and development models in the future.",Nghiên cứu,strengthening links between businesses universities international organizations will be the key to promoting innovation thereby opening up more effective hydrogen applications and development models in the future,"['strengthen', 'link', 'business', 'university', 'international', 'organization', 'key', 'promote', 'innovation', 'thereby', 'open', 'effective', 'hydrogen', 'application', 'development', 'model', 'future']",strengthen link business university international organization key promote innovation thereby open effective hydrogen application development model future
57,Sinh viên Trường ĐH Công nghiệp TPHCM xuất sắc dẫn đầu lĩnh vực kỹ thuật và môi trường Euréka 2015,Nghiên cứu,sinh viên trường đh công nghiệp tphcm xuất sắc dẫn đầu lĩnh vực kỹ thuật và môi trường euréka,"['sinh_viên', 'trường', 'đh', 'công_nghiệp', 'tphcm', 'xuất_sắc', 'dẫn_đầu', 'lĩnh_vực', 'kỹ_thuật', 'môi_trường', 'euréka']",sinh_viên trường đh công_nghiệp tphcm xuất_sắc dẫn_đầu lĩnh_vực kỹ_thuật môi_trường euréka,57,"In the context of strong digital transformation and the trend of sustainable energy development, digitalization and artificial intelligence (AI) play an increasingly important role in modernizing smart power systems.",Nghiên cứu,in the context of strong digital transformation and the trend of sustainable energy development digitalization and artificial intelligence ai play an increasingly important role in modernizing smart power systems,"['context', 'strong', 'digital', 'transformation', 'trend', 'sustainable', 'energy', 'development', 'digitalization', 'artificial', 'intelligence', 'play', 'increasingly', 'important', 'role', 'modernize', 'smart', 'power', 'system']",context strong digital transformation trend sustainable energy development digitalization artificial intelligence play increasingly important role modernize smart power system
